probka;y_real;y_model;u_input;error
311;16.1000;16.2118;22.0000;-0.1118
312;16.1000;16.2242;22.0000;-0.1242
313;16.2000;16.2366;22.0000;-0.0366
314;16.2000;16.2490;22.0000;-0.0490
315;16.2000;16.2614;22.0000;-0.0614
316;16.2000;16.2738;22.0000;-0.0738
317;16.2000;16.2862;22.0000;-0.0862
318;16.3000;16.2985;22.0000;0.0015
319;16.3000;16.3109;22.0000;-0.0109
320;16.3000;16.3232;22.0000;-0.0232
321;16.3000;16.3356;22.0000;-0.0356
322;16.3000;16.3479;22.0000;-0.0479
323;16.4000;16.3602;22.0000;0.0398
324;16.4000;16.3725;22.0000;0.0275
325;16.4000;16.3848;22.0000;0.0152
326;16.4000;16.3971;22.0000;0.0029
327;16.4000;16.4094;22.0000;-0.0094
328;16.4000;16.4217;22.0000;-0.0217
329;16.4000;16.4339;22.0000;-0.0339
330;16.4000;16.4462;22.0000;-0.0462
331;16.5000;16.4584;22.0000;0.0416
332;16.5000;16.4707;22.0000;0.0293
333;16.5000;16.4829;22.0000;0.0171
334;16.6000;16.4951;22.0000;0.1049
335;16.6000;16.5073;22.0000;0.0927
336;16.6000;16.5195;22.0000;0.0805
337;16.6000;16.5317;22.0000;0.0683
338;16.6000;16.5439;22.0000;0.0561
339;16.6000;16.5561;22.0000;0.0439
340;16.6000;16.5682;22.0000;0.0318
341;16.6000;16.5804;22.0000;0.0196
342;16.6000;16.5925;22.0000;0.0075
343;16.6000;16.6046;22.0000;-0.0046
344;16.7000;16.6168;22.0000;0.0832
345;16.7000;16.6289;22.0000;0.0711
346;16.7000;16.6410;22.0000;0.0590
347;16.8000;16.6531;22.0000;0.1469
348;16.8000;16.6652;22.0000;0.1348
349;16.8000;16.6772;22.0000;0.1228
350;16.8000;16.6893;22.0000;0.1107
351;16.8000;16.7014;22.0000;0.0986
352;16.8000;16.7134;22.0000;0.0866
353;16.8000;16.7255;22.0000;0.0745
354;16.8000;16.7375;22.0000;0.0625
355;16.9000;16.7495;22.0000;0.1505
356;16.9000;16.7615;22.0000;0.1385
357;16.9000;16.7735;22.0000;0.1265
358;16.9000;16.7855;22.0000;0.1145
359;17.0000;16.7975;22.0000;0.2025
360;17.0000;16.8095;22.0000;0.1905
361;17.0000;16.8215;22.0000;0.1785
362;17.0000;16.8334;22.0000;0.1666
363;17.0000;16.8454;22.0000;0.1546
364;17.1000;16.8573;22.0000;0.2427
365;17.1000;16.8692;22.0000;0.2308
366;17.1000;16.8812;22.0000;0.2188
367;17.1000;16.8931;22.0000;0.2069
368;17.1000;16.9050;22.0000;0.1950
369;17.1000;16.9169;22.0000;0.1831
370;17.1000;16.9288;22.0000;0.1712
371;17.1000;16.9406;22.0000;0.1594
372;17.2000;16.9525;22.0000;0.2475
373;17.2000;16.9644;22.0000;0.2356
374;17.2000;16.9762;22.0000;0.2238
375;17.2000;16.9880;22.0000;0.2120
376;17.2000;16.9999;22.0000;0.2001
377;17.3000;17.0117;22.0000;0.2883
378;17.3000;17.0235;22.0000;0.2765
379;17.3000;17.0353;22.0000;0.2647
380;17.3000;17.0471;22.0000;0.2529
381;17.3000;17.0589;22.0000;0.2411
382;17.3000;17.0707;22.0000;0.2293
383;17.3000;17.0824;22.0000;0.2176
384;17.3000;17.0942;22.0000;0.2058
385;17.4000;17.1060;22.0000;0.2940
386;17.4000;17.1177;22.0000;0.2823
387;17.4000;17.1294;22.0000;0.2706
388;17.5000;17.1412;22.0000;0.3588
389;17.5000;17.1529;22.0000;0.3471
390;17.5000;17.1646;22.0000;0.3354
391;17.5000;17.1763;22.0000;0.3237
392;17.5000;17.1880;22.0000;0.3120
393;17.5000;17.1996;22.0000;0.3004
394;17.5000;17.2113;22.0000;0.2887
395;17.5000;17.2230;22.0000;0.2770
396;17.5000;17.2346;22.0000;0.2654
397;17.5000;17.2463;22.0000;0.2537
398;17.6000;17.2579;22.0000;0.3421
399;17.6000;17.2695;22.0000;0.3305
400;17.6000;17.2811;22.0000;0.3189
401;17.6000;17.2928;22.0000;0.3072
402;17.6000;17.3044;22.0000;0.2956
403;17.6000;17.3159;22.0000;0.2841
404;17.6000;17.3275;22.0000;0.2725
405;17.6000;17.3391;22.0000;0.2609
406;17.7000;17.3507;22.0000;0.3493
407;17.7000;17.3622;22.0000;0.3378
408;17.7000;17.3738;22.0000;0.3262
409;17.8000;17.3853;22.0000;0.4147
410;17.8000;17.3968;22.0000;0.4032
411;17.8000;17.4084;22.0000;0.3916
412;17.8000;17.4199;22.0000;0.3801
413;17.8000;17.4314;22.0000;0.3686
414;17.8000;17.4429;22.0000;0.3571
415;17.8000;17.4543;22.0000;0.3457
416;17.8000;17.4658;22.0000;0.3342
417;17.8000;17.4773;22.0000;0.3227
418;17.8000;17.4887;22.0000;0.3113
419;17.9000;17.5002;22.0000;0.3998
420;17.9000;17.5116;22.0000;0.3884
421;17.9000;17.5231;22.0000;0.3769
422;17.9000;17.5345;22.0000;0.3655
423;17.9000;17.5459;22.0000;0.3541
424;17.9000;17.5573;22.0000;0.3427
425;17.9000;17.5687;22.0000;0.3313
426;17.9000;17.5801;22.0000;0.3199
427;18.0000;17.5915;22.0000;0.4085
428;18.0000;17.6029;22.0000;0.3971
429;18.0000;17.6142;22.0000;0.3858
430;18.1000;17.6256;22.0000;0.4744
431;18.1000;17.6369;22.0000;0.4631
432;18.1000;17.6483;22.0000;0.4517
433;18.1000;17.6596;22.0000;0.4404
434;18.1000;17.6709;22.0000;0.4291
435;18.1000;17.6822;22.0000;0.4178
436;18.1000;17.6935;22.0000;0.4065
437;18.1000;17.7048;22.0000;0.3952
438;18.1000;17.7161;22.0000;0.3839
439;18.1000;17.7274;22.0000;0.3726
440;18.2000;17.7386;22.0000;0.4614
441;18.2000;17.7499;22.0000;0.4501
442;18.2000;17.7612;22.0000;0.4388
443;18.2000;17.7724;22.0000;0.4276
444;18.2000;17.7836;22.0000;0.4164
445;18.2000;17.7949;22.0000;0.4051
446;18.2000;17.8061;22.0000;0.3939
447;18.2000;17.8173;22.0000;0.3827
448;18.3000;17.8285;22.0000;0.4715
449;18.3000;17.8397;22.0000;0.4603
450;18.3000;17.8509;22.0000;0.4491
451;18.3000;17.8620;22.0000;0.4380
452;18.3000;17.8732;22.0000;0.4268
453;18.3000;17.8844;22.0000;0.4156
454;18.3000;17.8955;22.0000;0.4045
455;18.3000;17.9066;22.0000;0.3934
456;18.4000;17.9178;22.0000;0.4822
457;18.4000;17.9289;22.0000;0.4711
458;18.4000;17.9400;22.0000;0.4600
459;18.4000;17.9511;22.0000;0.4489
460;18.4000;17.9622;22.0000;0.4378
461;18.4000;17.9733;22.0000;0.4267
462;18.4000;17.9844;22.0000;0.4156
463;18.4000;17.9955;22.0000;0.4045
464;18.5000;18.0065;22.0000;0.4935
465;18.5000;18.0176;22.0000;0.4824
466;18.5000;18.0286;22.0000;0.4714
467;18.5000;18.0397;22.0000;0.4603
