time	Czujnik	data	temperature [°C]	u	time	Czujnik	data	temperature [°C]	ON/OFF
12:32:44	CRT	121	12,1	1	12:32:44	HRT	150	15	22
12:32:45	CRT	121	12,1	1	12:32:45	HRT	150	15	22
12:32:45	CRT	121	12,1	1	12:32:45	HRT	151	15,1	22
12:32:46	CRT	121	12,1	1	12:32:46	HRT	151	15,1	22
12:32:46	CRT	121	12,1	1	12:32:46	HRT	151	15,1	22
12:32:47	CRT	121	12,1	1	12:32:47	HRT	152	15,2	22
12:32:48	CRT	121	12,1	1	12:32:48	HRT	152	15,2	22
12:32:48	CRT	121	12,1	1	12:32:48	HRT	152	15,2	22
12:32:49	CRT	121	12,1	1	12:32:49	HRT	152	15,2	22
12:32:50	CRT	121	12,1	1	12:32:50	HRT	152	15,2	22
12:32:50	CRT	121	12,1	1	12:32:50	HRT	153	15,3	22
12:32:51	CRT	121	12,1	1	12:32:51	HRT	153	15,3	22
12:32:52	CRT	121	12,1	1	12:32:52	HRT	153	15,3	22
12:32:52	CRT	121	12,1	1	12:32:52	HRT	153	15,3	22
12:32:53	CRT	121	12,1	1	12:32:53	HRT	153	15,3	22
12:32:54	CRT	121	12,1	1	12:32:54	HRT	154	15,4	22
12:32:54	CRT	121	12,1	1	12:32:54	HRT	154	15,4	22
12:32:55	CRT	121	12,1	1	12:32:55	HRT	154	15,4	22
12:32:55	CRT	121	12,1	1	12:32:55	HRT	154	15,4	22
12:32:56	CRT	121	12,1	1	12:32:56	HRT	154	15,4	22
12:32:57	CRT	121	12,1	1	12:32:57	HRT	154	15,4	22
12:32:57	CRT	121	12,1	1	12:32:57	HRT	154	15,4	22
12:32:58	CRT	121	12,1	1	12:32:58	HRT	154	15,4	22
12:32:59	CRT	121	12,1	1	12:32:59	HRT	155	15,5	22
12:32:59	CRT	121	12,1	1	12:32:59	HRT	155	15,5	22
12:33:00	CRT	121	12,1	1	12:33:00	HRT	155	15,5	22
12:33:01	CRT	121	12,1	1	12:33:01	HRT	156	15,6	22
12:33:01	CRT	121	12,1	1	12:33:01	HRT	156	15,6	22
12:33:02	CRT	121	12,1	1	12:33:02	HRT	156	15,6	22
12:33:03	CRT	121	12,1	1	12:33:03	HRT	156	15,6	22
12:33:03	CRT	121	12,1	1	12:33:03	HRT	156	15,6	22
12:33:04	CRT	121	12,1	1	12:33:04	HRT	157	15,7	22
12:33:05	CRT	121	12,1	1	12:33:05	HRT	157	15,7	22
12:33:05	CRT	121	12,1	1	12:33:05	HRT	157	15,7	22
12:33:06	CRT	121	12,1	1	12:33:06	HRT	157	15,7	22
12:33:06	CRT	121	12,1	1	12:33:06	HRT	157	15,7	22
12:33:07	CRT	121	12,1	1	12:33:07	HRT	157	15,7	22
12:33:08	CRT	121	12,1	1	12:33:08	HRT	157	15,7	22
12:33:08	CRT	121	12,1	1	12:33:08	HRT	157	15,7	22
12:33:09	CRT	121	12,1	1	12:33:09	HRT	158	15,8	22
12:33:10	CRT	121	12,1	1	12:33:10	HRT	158	15,8	22
12:33:10	CRT	121	12,1	1	12:33:10	HRT	158	15,8	22
12:33:11	CRT	121	12,1	1	12:33:11	HRT	158	15,8	22
