probka;u;y_real;y_model;error
261;1.0000;7.1000;4.8385;2.2615
262;1.0000;4.4000;6.3209;-1.9209
263;1.0000;7.1000;4.5016;2.5984
264;1.0000;5.6000;6.3209;-0.7209
265;1.0000;7.1000;5.3102;1.7898
266;1.0000;5.6000;6.3209;-0.7209
267;1.0000;7.1000;5.3102;1.7898
268;1.0000;4.9000;6.3209;-1.4209
269;1.0000;7.1000;4.8385;2.2615
270;1.0000;6.3000;6.3209;-0.0209
271;1.0000;7.1000;5.7819;1.3181
272;1.0000;5.5000;6.3209;-0.8209
273;1.0000;7.1000;5.2428;1.8572
274;1.0000;5.3000;6.3209;-1.0209
275;1.0000;7.1000;5.1081;1.9919
276;1.0000;3.0000;6.3209;-3.3209
277;1.0000;7.1000;3.5583;3.5417
278;1.0000;3.9000;6.3209;-2.4209
279;1.0000;7.1000;4.1647;2.9353
280;1.0000;3.9000;6.3209;-2.4209
281;1.0000;7.1000;4.1647;2.9353
282;1.0000;5.3000;6.3209;-1.0209
283;1.0000;7.1000;5.1081;1.9919
284;1.0000;4.1000;6.3209;-2.2209
285;1.0000;7.1000;4.2995;2.8005
286;1.0000;3.9000;6.3209;-2.4209
287;1.0000;7.1000;4.1647;2.9353
288;1.0000;4.6000;6.3209;-1.7209
289;1.0000;7.1000;4.6364;2.4636
290;1.0000;4.5000;6.3209;-1.8209
291;1.0000;7.1000;4.5690;2.5310
292;1.0000;4.3000;6.3209;-2.0209
293;1.0000;7.1000;4.4342;2.6658
294;1.0000;4.4000;6.3209;-1.9209
295;1.0000;7.1000;4.5016;2.5984
296;1.0000;4.9000;6.3209;-1.4209
297;1.0000;7.1000;4.8385;2.2615
298;1.0000;0.3000;6.3209;-6.0209
299;1.0000;7.1000;1.7390;5.3610
300;1.0000;3.9000;6.3209;-2.4209
301;1.0000;7.1000;4.1647;2.9353
302;1.0000;4.6000;6.3209;-1.7209
303;1.0000;7.1000;4.6364;2.4636
304;1.0000;3.5000;6.3209;-2.8209
305;1.0000;7.1000;3.8952;3.2048
306;1.0000;2.2000;6.3209;-4.1209
307;1.0000;7.1000;3.0192;4.0808
308;1.0000;2.0000;6.3209;-4.3209
309;1.0000;7.1000;2.8845;4.2155
310;1.0000;3.9000;6.3209;-2.4209
311;1.0000;7.1000;4.1647;2.9353
312;1.0000;3.9000;6.3209;-2.4209
313;1.0000;7.1000;4.1647;2.9353
314;1.0000;3.9000;6.3209;-2.4209
315;1.0000;7.1000;4.1647;2.9353
316;1.0000;3.9000;6.3209;-2.4209
317;1.0000;7.1000;4.1647;2.9353
318;1.0000;3.9000;6.3209;-2.4209
319;1.0000;7.1000;4.1647;2.9353
320;1.0000;3.9000;6.3209;-2.4209
321;1.0000;7.1000;4.1647;2.9353
322;1.0000;3.9000;6.3209;-2.4209
323;1.0000;7.1000;4.1647;2.9353
324;1.0000;3.9000;6.3209;-2.4209
325;1.0000;7.1000;4.1647;2.9353
326;1.0000;3.9000;6.3209;-2.4209
327;1.0000;7.1000;4.1647;2.9353
328;1.0000;2.8000;6.3209;-3.5209
329;1.0000;7.1000;3.4235;3.6765
330;1.0000;3.9000;6.3209;-2.4209
331;1.0000;7.1000;4.1647;2.9353
332;1.0000;3.9000;6.3209;-2.4209
333;1.0000;7.1000;4.1647;2.9353
334;1.0000;3.9000;6.3209;-2.4209
335;1.0000;7.1000;4.1647;2.9353
336;1.0000;3.9000;6.3209;-2.4209
337;1.0000;7.1000;4.1647;2.9353
338;1.0000;3.9000;6.3209;-2.4209
339;1.0000;7.1000;4.1647;2.9353
340;1.0000;3.9000;6.3209;-2.4209
341;1.0000;7.1000;4.1647;2.9353
342;1.0000;5.8000;6.3209;-0.5209
343;1.0000;7.1000;5.4450;1.6550
344;1.0000;4.7000;6.3209;-1.6209
345;1.0000;7.1000;4.7038;2.3962
346;1.0000;4.6000;6.3209;-1.7209
347;1.0000;7.1000;4.6364;2.4636
348;1.0000;3.9000;6.3209;-2.4209
349;1.0000;7.1000;4.1647;2.9353
350;1.0000;3.9000;6.3209;-2.4209
351;1.0000;7.1000;4.1647;2.9353
352;1.0000;2.3000;6.3209;-4.0209
353;1.0000;7.1000;3.0866;4.0134
354;1.0000;3.5000;6.3209;-2.8209
355;1.0000;7.1000;3.8952;3.2048
356;1.0000;4.1000;6.3209;-2.2209
357;1.0000;7.1000;4.2995;2.8005
358;1.0000;3.9000;6.3209;-2.4209
359;1.0000;4.6000;4.1647;0.4353
360;1.0000;7.1000;4.6364;2.4636
361;1.0000;3.9000;6.3209;-2.4209
362;1.0000;7.1000;4.1647;2.9353
363;1.0000;3.9000;6.3209;-2.4209
364;1.0000;7.1000;4.1647;2.9353
365;1.0000;4.7000;6.3209;-1.6209
366;1.0000;7.1000;4.7038;2.3962
367;1.0000;3.7000;6.3209;-2.6209
368;1.0000;7.1000;4.0300;3.0700
369;1.0000;3.9000;6.3209;-2.4209
370;1.0000;7.1000;4.1647;2.9353
371;1.0000;3.8000;6.3209;-2.5209
372;1.0000;7.1000;4.0973;3.0027
373;1.0000;3.7000;6.3209;-2.6209
374;1.0000;7.1000;4.0300;3.0700
375;1.0000;4.6000;6.3209;-1.7209
376;1.0000;7.1000;4.6364;2.4636
377;1.0000;4.4000;6.3209;-1.9209
378;1.0000;7.1000;4.5016;2.5984
379;1.0000;3.9000;6.3209;-2.4209
380;1.0000;5.0000;4.1647;0.8353
381;1.0000;7.1000;4.9059;2.1941
382;1.0000;3.9000;6.3209;-2.4209
383;1.0000;7.1000;4.1647;2.9353
384;1.0000;3.9000;6.3209;-2.4209
385;1.0000;7.1000;4.1647;2.9353
386;1.0000;6.6000;6.3209;0.2791
387;1.0000;7.1000;5.9840;1.1160
388;1.0000;3.6000;6.3209;-2.7209
389;1.0000;7.1000;3.9626;3.1374
390;1.0000;0.9000;6.3209;-5.4209
391;1.0000;7.1000;2.1433;4.9567
392;1.0000;3.0000;6.3209;-3.3209
393;1.0000;7.1000;3.5583;3.5417
394;1.0000;1.4000;6.3209;-4.9209
395;1.0000;7.1000;2.4802;4.6198
396;1.0000;3.9000;6.3209;-2.4209
397;1.0000;7.1000;4.1647;2.9353
398;1.0000;1.7000;6.3209;-4.6209
399;1.0000;7.1000;2.6823;4.4177
400;1.0000;3.9000;6.3209;-2.4209
401;1.0000;7.1000;4.1647;2.9353
402;1.0000;3.9000;6.3209;-2.4209
403;1.0000;7.1000;4.1647;2.9353
404;1.0000;3.9000;6.3209;-2.4209
405;1.0000;7.1000;4.1647;2.9353
406;1.0000;2.3000;6.3209;-4.0209
407;1.0000;7.1000;3.0866;4.0134
408;1.0000;3.9000;6.3209;-2.4209
409;1.0000;7.1000;4.1647;2.9353
410;1.0000;5.4000;6.3209;-0.9209
411;1.0000;7.1000;5.1754;1.9246
412;1.0000;3.9000;6.3209;-2.4209
413;1.0000;7.1000;4.1647;2.9353
414;1.0000;3.9000;6.3209;-2.4209
415;1.0000;7.1000;4.1647;2.9353
416;1.0000;4.3000;6.3209;-2.0209
417;1.0000;7.1000;4.4342;2.6658
418;1.0000;4.4000;6.3209;-1.9209
419;1.0000;7.1000;4.5016;2.5984
420;1.0000;3.9000;6.3209;-2.4209
421;1.0000;7.1000;4.1647;2.9353
422;1.0000;3.9000;6.3209;-2.4209
423;1.0000;7.1000;4.1647;2.9353
424;1.0000;4.5000;6.3209;-1.8209
425;1.0000;7.1000;4.5690;2.5310
426;1.0000;2.6000;6.3209;-3.7209
427;1.0000;7.1000;3.2888;3.8112
428;1.0000;3.9000;6.3209;-2.4209
429;1.0000;7.1000;4.1647;2.9353
430;1.0000;2.6000;6.3209;-3.7209
431;1.0000;7.1000;3.2888;3.8112
432;1.0000;3.9000;6.3209;-2.4209
433;1.0000;2.7000;4.1647;-1.4647
434;1.0000;7.1000;3.3561;3.7439
435;1.0000;3.9000;6.3209;-2.4209
436;1.0000;3.7000;4.1647;-0.4647
437;1.0000;7.1000;4.0300;3.0700
438;1.0000;3.9000;6.3209;-2.4209
439;1.0000;7.1000;4.1647;2.9353
440;1.0000;2.8000;6.3209;-3.5209
441;1.0000;7.1000;3.4235;3.6765
442;1.0000;3.3000;6.3209;-3.0209
443;1.0000;7.1000;3.7604;3.3396
444;1.0000;5.1000;6.3209;-1.2209
445;1.0000;7.1000;4.9733;2.1267
446;1.0000;4.3000;6.3209;-2.0209
447;1.0000;7.1000;4.4342;2.6658
448;1.0000;3.9000;6.3209;-2.4209
449;1.0000;7.1000;4.1647;2.9353
450;1.0000;4.9000;6.3209;-1.4209
451;1.0000;7.1000;4.8385;2.2615
452;1.0000;3.8000;6.3209;-2.5209
453;1.0000;7.1000;4.0973;3.0027
454;1.0000;3.9000;6.3209;-2.4209
455;1.0000;7.1000;4.1647;2.9353
456;1.0000;6.0000;6.3209;-0.3209
457;1.0000;7.1000;5.5797;1.5203
458;1.0000;4.2000;6.3209;-2.1209
459;1.0000;7.1000;4.3669;2.7331
460;1.0000;3.5000;6.3209;-2.8209
461;1.0000;7.1000;3.8952;3.2048
462;1.0000;3.1000;6.3209;-3.2209
463;1.0000;7.1000;3.6257;3.4743
464;1.0000;4.7000;6.3209;-1.6209
465;1.0000;7.1000;4.7038;2.3962
466;1.0000;1.4000;6.3209;-4.9209
467;1.0000;7.1000;2.4802;4.6198
468;1.0000;3.9000;6.3209;-2.4209
469;1.0000;7.1000;4.1647;2.9353
470;1.0000;3.9000;6.3209;-2.4209
471;1.0000;7.1000;4.1647;2.9353
472;1.0000;0.0000;6.3209;-6.3209
473;1.0000;0.0000;1.5368;-1.5368
474;1.0000;0.1000;1.5368;-1.4368
475;1.0000;7.1000;1.6042;5.4958
476;1.0000;3.9000;6.3209;-2.4209
477;1.0000;7.1000;4.1647;2.9353
478;1.0000;3.9000;6.3209;-2.4209
479;1.0000;7.1000;4.1647;2.9353
480;1.0000;3.9000;6.3209;-2.4209
481;1.0000;7.1000;4.1647;2.9353
482;1.0000;3.9000;6.3209;-2.4209
483;1.0000;7.1000;4.1647;2.9353
484;1.0000;3.9000;6.3209;-2.4209
485;1.0000;4.1000;4.1647;-0.0647
486;1.0000;7.1000;4.2995;2.8005
487;1.0000;4.4000;6.3209;-1.9209
488;1.0000;7.1000;4.5016;2.5984
489;1.0000;3.7000;6.3209;-2.6209
490;1.0000;7.1000;4.0300;3.0700
491;1.0000;2.9000;6.3209;-3.4209
492;1.0000;7.1000;3.4909;3.6091
